boxes,CS1poc,CS1pon,CS1pop,CS1doc,CS1don,CS1dop,CS1am,CS1ni,CS1ph
1,1400,1000,10,105,1,0.14,0.5,0.3,0.18
2,1400,1000,10,105,1,0.14,0.5,0.3,0.18
3,1400,1000,10,105,1,0.14,0.5,0.3,0.18
4,1400,1000,10,105,1,0.14,0.5,0.3,0.18
5,1400,1000,10,105,1,0.14,0.5,0.3,0.18
6,1400,1000,10,105,1,0.14,0.5,0.3,0.18
7,1400,1000,10,105,1,0.14,0.5,0.3,0.18
8,1400,1000,10,105,1,0.14,0.5,0.3,0.18
9,1400,1000,10,105,1,0.14,0.5,0.3,0.18
10,1400,1000,10,105,1,0.14,0.5,0.3,0.18
11,1400,1000,10,105,1,0.14,0.5,0.3,0.18
12,1400,1000,10,105,1,0.14,0.5,0.3,0.18
13,1400,1000,10,105,1,0.14,0.5,0.3,0.18
14,1400,1000,10,105,1,0.14,0.5,0.3,0.18
15,1400,1000,10,105,1,0.14,0.5,0.3,0.18
16,1400,1000,10,105,1,0.14,0.5,0.3,0.18
17,1400,1000,10,105,1,0.14,0.5,0.3,0.18
18,1400,1000,10,105,1,0.14,0.5,0.3,0.18
19,1400,1000,10,105,1,0.14,0.5,0.3,0.18
20,1400,1000,10,105,1,0.14,0.5,0.3,0.18
21,1400,1000,10,105,1,0.14,0.5,0.3,0.18
22,1400,1000,10,105,1,0.14,0.5,0.3,0.18
23,1400,1000,10,105,1,0.14,0.5,0.3,0.18
24,1400,1000,10,105,1,0.14,0.5,0.3,0.18
25,1400,1000,10,105,1,0.14,0.5,0.3,0.18
26,1400,1000,10,105,1,0.14,0.5,0.3,0.18
27,1400,1000,10,105,1,0.14,0.5,0.3,0.18
28,1400,1000,10,105,1,0.14,0.5,0.3,0.18
29,1400,1000,10,105,1,0.14,0.5,0.3,0.18
